date,Maricopa,Pima,Broward,Duval,Leon,Miami-Dade,Bexar,Dallas,Harris,Travis
7/23/20,1651,405,536,113,13,1354,298,579,597,229
7/24/20,1718,409,546,122,13,1370,313,586,615,241
7/25/20,1793,417,580,138,13,1379,322,604,637,241
7/26/20,1808,418,605,139,13,1388,323,605,645,241
7/27/20,1807,418,607,143,14,1404,480,607,1100,252
7/28/20,1882,431,607,146,14,1425,497,622,1127,255
7/29/20,1915,431,638,149,14,1455,521,658,1182,264
7/30/20,2011,450,676,152,14,1515,545,664,1206,266
7/31/20,2054,459,709,153,14,1611,578,671,1258,274
8/1/20,2089,462,742,157,14,1647,611,681,1288,276
8/2/20,2101,462,745,158,14,1669,611,688,1288,279
8/3/20,2108,462,748,160,15,1694,622,691,1318,285
8/4/20,2153,465,765,162,15,1724,646,722,1367,287
8/5/20,2204,469,783,164,21,1775,673,726,1409,287
8/6/20,2259,480,782,165,23,1784,705,736,1459,288
8/7/20,2307,482,782,177,24,1809,739,746,1514,295
8/8/20,2347,489,789,188,24,1838,773,751,1562,298
8/9/20,2353,489,803,188,24,1865,782,755,1575,298
8/10/20,2356,489,821,189,25,1874,784,756,1583,303
8/11/20,2382,501,856,198,26,1909,806,785,1616,307
8/12/20,2493,505,859,210,26,1939,826,794,1679,313
8/13/20,2517,511,883,212,26,1954,850,807,1713,328
