date,DNK,FIN,NOR,SWE
2020-07-05,606.0,329.0,251.0,5420.0
2020-07-06,607.0,329.0,251.0,5420.0
2020-07-07,609.0,329.0,251.0,5447.0
2020-07-08,609.0,329.0,251.0,5482.0
2020-07-09,609.0,329.0,252.0,5500.0
2020-07-10,609.0,329.0,252.0,5526.0
2020-07-11,609.0,329.0,252.0,5526.0
2020-07-12,609.0,329.0,252.0,5526.0
2020-07-13,610.0,329.0,253.0,5526.0
2020-07-14,610.0,329.0,253.0,5545.0
2020-07-15,610.0,328.0,253.0,5572.0
2020-07-16,610.0,328.0,254.0,5593.0
2020-07-17,611.0,328.0,255.0,5619.0
2020-07-18,611.0,328.0,255.0,5619.0
2020-07-19,611.0,328.0,255.0,5619.0
2020-07-20,611.0,328.0,255.0,5619.0
2020-07-21,611.0,328.0,255.0,5646.0
2020-07-22,611.0,328.0,255.0,5667.0
2020-07-23,612.0,328.0,255.0,5676.0
2020-07-24,613.0,329.0,255.0,5697.0
2020-07-25,613.0,329.0,255.0,5697.0
2020-07-26,613.0,329.0,255.0,5697.0
2020-07-27,613.0,329.0,255.0,5697.0
2020-07-28,613.0,329.0,255.0,5702.0
2020-07-29,614.0,329.0,255.0,5730.0
2020-07-30,615.0,329.0,255.0,5739.0
2020-07-31,615.0,329.0,255.0,5743.0
2020-08-01,615.0,329.0,255.0,5743.0
2020-08-02,615.0,329.0,255.0,5743.0
2020-08-03,616.0,329.0,256.0,5743.0
2020-08-04,616.0,331.0,256.0,5747.0
2020-08-05,616.0,331.0,256.0,5760.0
2020-08-06,617.0,331.0,256.0,5766.0
2020-08-07,617.0,331.0,256.0,5763.0
2020-08-08,617.0,331.0,256.0,5763.0
2020-08-09,617.0,331.0,256.0,5763.0
2020-08-10,620.0,333.0,256.0,5763.0
2020-08-11,621.0,333.0,256.0,5770.0
2020-08-12,621.0,333.0,256.0,5774.0
2020-08-13,621.0,333.0,257.0,5776.0
2020-08-14,621.0,333.0,261.0,5783.0
2020-08-15,621.0,333.0,261.0,5783.0
2020-08-16,621.0,333.0,261.0,5783.0
2020-08-17,621.0,334.0,261.0,5783.0
2020-08-18,621.0,334.0,262.0,5790.0
2020-08-19,621.0,334.0,262.0,5802.0
2020-08-20,621.0,334.0,264.0,5805.0
2020-08-21,621.0,334.0,264.0,5810.0
2020-08-22,622.0,334.0,264.0,5810.0
2020-08-23,622.0,334.0,264.0,5810.0
2020-08-24,623.0,335.0,264.0,5810.0
2020-08-25,623.0,335.0,264.0,5814.0
2020-08-26,623.0,335.0,264.0,5817.0
2020-08-27,624.0,335.0,264.0,5820.0
2020-08-28,624.0,335.0,264.0,5821.0
2020-08-29,624.0,335.0,264.0,5821.0
2020-08-30,624.0,335.0,264.0,5821.0
2020-08-31,624.0,336.0,264.0,5821.0
2020-09-01,625.0,336.0,264.0,5813.0
2020-09-02,626.0,336.0,264.0,5820.0
2020-09-03,626.0,336.0,264.0,5832.0
2020-09-04,627.0,336.0,264.0,5835.0
2020-09-05,627.0,336.0,264.0,5835.0
2020-09-06,627.0,336.0,264.0,5835.0
2020-09-07,628.0,336.0,264.0,5835.0
2020-09-08,628.0,336.0,264.0,5838.0
2020-09-09,628.0,337.0,264.0,5842.0
2020-09-10,629.0,337.0,265.0,5843.0
2020-09-11,629.0,337.0,265.0,5846.0
2020-09-12,630.0,337.0,265.0,5846.0
2020-09-13,631.0,337.0,265.0,5846.0
2020-09-14,633.0,337.0,265.0,5846.0
2020-09-15,633.0,339.0,265.0,5846.0
2020-09-16,633.0,339.0,265.0,5860.0
2020-09-17,635.0,339.0,266.0,5864.0
2020-09-18,635.0,339.0,267.0,5865.0
2020-09-19,635.0,339.0,267.0,5865.0
2020-09-20,638.0,339.0,267.0,5865.0
2020-09-21,640.0,341.0,267.0,5865.0
2020-09-22,641.0,341.0,267.0,5865.0
2020-09-23,643.0,343.0,267.0,5876.0
2020-09-24,645.0,343.0,270.0,5878.0
2020-09-25,647.0,343.0,270.0,5880.0
2020-09-26,648.0,343.0,270.0,5880.0
2020-09-27,649.0,343.0,270.0,5880.0
2020-09-28,649.0,345.0,274.0,5880.0
2020-09-29,650.0,345.0,274.0,5880.0
2020-09-30,650.0,344.0,274.0,5893.0
2020-10-01,651.0,344.0,274.0,5893.0
2020-10-02,652.0,345.0,275.0,5895.0
2020-10-03,654.0,345.0,275.0,5895.0
2020-10-04,658.0,345.0,275.0,5895.0
2020-10-05,659.0,346.0,275.0,5895.0
2020-10-06,663.0,346.0,275.0,5895.0
2020-10-07,663.0,346.0,275.0,5892.0
2020-10-08,665.0,346.0,275.0,5892.0
2020-10-09,665.0,346.0,275.0,5894.0
2020-10-10,667.0,346.0,275.0,5894.0
2020-10-11,669.0,346.0,275.0,5894.0
2020-10-12,671.0,346.0,276.0,5894.0
2020-10-13,674.0,346.0,277.0,5894.0
2020-10-14,675.0,350.0,277.0,5907.0
2020-10-15,677.0,350.0,278.0,5910.0
2020-10-16,677.0,351.0,278.0,5918.0
2020-10-17,679.0,351.0,278.0,5918.0
2020-10-18,680.0,351.0,278.0,5918.0
2020-10-19,686.0,351.0,278.0,5918.0
2020-10-20,688.0,351.0,278.0,5918.0
2020-10-21,690.0,355.0,279.0,5929.0
2020-10-22,694.0,355.0,279.0,5930.0
2020-10-23,697.0,353.0,279.0,5933.0
2020-10-24,700.0,353.0,279.0,5933.0
2020-10-25,702.0,353.0,279.0,5933.0
