date,Arizona,Florida,Georgia,North Carolina,South Carolina,Texas
2020-06-15,37005.0,77318.0,55505.0,45257.0,19381.0,91727.0
2020-06-16,39298.0,80101.0,56302.0,46105.0,19995.0,95973.0
2020-06-17,41159.0,82711.0,57217.0,47142.0,20556.0,99466.0
2020-06-18,43731.0,85918.0,58040.0,48426.0,21548.0,102677.0
2020-06-19,46914.0,89740.0,59117.0,50014.0,22631.0,107322.0
2020-06-20,50198.0,93789.0,60669.0,51640.0,23786.0,111594.0
2020-06-21,52666.0,97283.0,61493.0,52854.0,24693.0,114886.0
2020-06-22,54767.0,100209.0,62705.0,53840.0,25701.0,119646.0
2020-06-23,58397.0,103495.0,64577.0,54824.0,26613.0,124726.0
2020-06-24,60207.0,109006.0,66290.0,56261.0,27897.0,131310.0
2020-06-25,63297.0,114010.0,67796.0,57538.0,29022.0,136783.0
2020-06-26,66676.0,122952.0,69542.0,59253.0,30335.0,142582.0
