date,Clark,King,Kitsap,Pierce,Snohomish,Spokane,Thurston,Yakima
2020-06-08,603.0,8509.0,165.0,2345.0,3504.0,767.0,173.0,4929.0
2020-06-09,605.0,8538.0,170.0,2357.0,3524.0,778.0,174.0,5009.0
2020-06-10,607.0,8561.0,172.0,2364.0,3532.0,792.0,179.0,5009.0
2020-06-11,622.0,8586.0,172.0,2369.0,3541.0,796.0,179.0,5092.0
2020-06-12,630.0,8646.0,173.0,2383.0,3566.0,806.0,187.0,5259.0
2020-06-13,630.0,8702.0,176.0,2404.0,3566.0,808.0,192.0,5504.0
2020-06-14,630.0,8753.0,176.0,2423.0,3566.0,824.0,193.0,5611.0
2020-06-15,647.0,8799.0,178.0,2435.0,3595.0,846.0,197.0,5727.0
2020-06-16,656.0,8857.0,178.0,2458.0,3614.0,864.0,198.0,5830.0
2020-06-17,659.0,8895.0,180.0,2478.0,3641.0,881.0,201.0,5939.0
2020-06-18,671.0,8989.0,182.0,2504.0,3656.0,897.0,205.0,6062.0
2020-06-19,685.0,9098.0,185.0,2532.0,3678.0,940.0,210.0,6062.0
2020-06-20,685.0,9167.0,189.0,2532.0,3678.0,958.0,214.0,6359.0
2020-06-21,685.0,9236.0,190.0,2591.0,3678.0,978.0,219.0,6476.0
2020-06-22,703.0,9275.0,191.0,2600.0,3747.0,1002.0,219.0,6596.0
2020-06-23,719.0,9371.0,195.0,2625.0,3813.0,1055.0,221.0,6596.0
2020-06-24,732.0,9504.0,198.0,2672.0,3833.0,1085.0,226.0,6736.0
2020-06-25,741.0,9614.0,200.0,2709.0,3862.0,1126.0,229.0,6940.0
2020-06-26,758.0,9697.0,205.0,2739.0,3893.0,1171.0,232.0,7040.0
2020-06-27,758.0,9821.0,211.0,2797.0,3893.0,1183.0,238.0,7170.0
2020-06-28,758.0,9903.0,213.0,2820.0,3903.0,1197.0,244.0,7241.0
2020-06-29,826.0,10071.0,212.0,2841.0,3996.0,1306.0,251.0,7316.0
2020-06-30,843.0,10198.0,221.0,2887.0,4018.0,1385.0,263.0,7385.0
2020-07-01,883.0,10358.0,225.0,2928.0,4063.0,1420.0,273.0,7476.0
2020-07-02,901.0,10598.0,230.0,2984.0,4112.0,1489.0,282.0,7556.0
2020-07-03,901.0,10721.0,239.0,3048.0,4112.0,1533.0,288.0,7667.0
2020-07-04,920.0,10786.0,241.0,3097.0,4143.0,1555.0,292.0,7742.0
2020-07-05,922.0,11016.0,243.0,3149.0,4178.0,1606.0,298.0,7855.0
2020-07-06,1008.0,11142.0,248.0,3212.0,4273.0,1741.0,303.0,7935.0
2020-07-07,1053.0,11208.0,251.0,3242.0,4318.0,1792.0,312.0,8018.0
2020-07-08,1090.0,11321.0,261.0,3304.0,4339.0,1850.0,317.0,8138.0
2020-07-09,1128.0,11488.0,269.0,3366.0,4386.0,1902.0,321.0,8242.0
2020-07-10,1166.0,11634.0,277.0,3423.0,4438.0,1946.0,346.0,8344.0
2020-07-11,1166.0,11773.0,277.0,3504.0,4438.0,1946.0,355.0,8344.0
2020-07-12,1166.0,11947.0,291.0,3574.0,4438.0,2067.0,378.0,8578.0
2020-07-13,1272.0,12101.0,306.0,3634.0,4613.0,2183.0,397.0,8676.0
2020-07-14,1319.0,12246.0,312.0,3700.0,4649.0,2259.0,412.0,8763.0
2020-07-15,1344.0,12355.0,316.0,3775.0,4684.0,2356.0,430.0,8831.0
2020-07-16,1390.0,12594.0,338.0,3885.0,4784.0,2447.0,437.0,9202.0
2020-07-17,1434.0,12809.0,353.0,3978.0,4849.0,2577.0,455.0,9275.0
2020-07-18,1434.0,12993.0,362.0,4096.0,4849.0,2577.0,472.0,9431.0
2020-07-19,1434.0,13161.0,389.0,4194.0,4849.0,2667.0,485.0,9545.0
2020-07-20,1526.0,13341.0,399.0,4272.0,5024.0,2813.0,495.0,9610.0
2020-07-21,1566.0,13488.0,407.0,4377.0,5083.0,2894.0,504.0,9693.0
2020-07-22,1577.0,13661.0,423.0,4471.0,5118.0,2965.0,519.0,9755.0
2020-07-23,1605.0,13837.0,442.0,4585.0,5179.0,3078.0,531.0,9855.0
2020-07-24,1634.0,14066.0,474.0,4695.0,5280.0,3197.0,546.0,9958.0
2020-07-25,1634.0,14274.0,495.0,4790.0,5280.0,3197.0,567.0,9958.0
2020-07-26,1634.0,14452.0,521.0,4790.0,5280.0,3276.0,579.0,9958.0
2020-07-27,1682.0,14638.0,543.0,4790.0,5451.0,3435.0,595.0,10208.0
2020-07-28,1719.0,14748.0,565.0,5061.0,5525.0,3514.0,610.0,10268.0
2020-07-29,1729.0,14898.0,576.0,5148.0,5590.0,3518.0,629.0,10338.0
2020-07-30,1758.0,15058.0,599.0,5252.0,5664.0,3620.0,641.0,10381.0
2020-07-31,1780.0,15216.0,599.0,5344.0,5741.0,3620.0,650.0,10449.0
2020-08-01,1780.0,15418.0,634.0,5452.0,5741.0,3813.0,675.0,10516.0
2020-08-02,1780.0,15529.0,646.0,5527.0,5741.0,3870.0,678.0,10557.0
2020-08-03,1887.0,15653.0,659.0,5620.0,5896.0,3916.0,680.0,10599.0
2020-08-04,1948.0,15798.0,675.0,5747.0,5957.0,4012.0,700.0,10671.0
2020-08-05,1993.0,15965.0,675.0,5851.0,6033.0,4012.0,709.0,10700.0
2020-08-06,1994.0,16157.0,675.0,5988.0,6074.0,4012.0,744.0,10755.0
2020-08-07,2020.0,16291.0,708.0,6073.0,6112.0,4199.0,749.0,10787.0
2020-08-08,2020.0,16491.0,708.0,6149.0,6112.0,4199.0,763.0,10865.0
2020-08-09,2020.0,16620.0,731.0,6244.0,6112.0,4422.0,777.0,10935.0
2020-08-10,2112.0,16768.0,747.0,6310.0,6245.0,4511.0,790.0,10954.0
2020-08-11,2123.0,16849.0,747.0,6387.0,6329.0,4511.0,803.0,10995.0
2020-08-12,2162.0,16998.0,747.0,6438.0,6364.0,4674.0,810.0,11035.0
2020-08-13,2183.0,17223.0,779.0,6523.0,6422.0,4674.0,824.0,11125.0
2020-08-14,2221.0,17359.0,779.0,6614.0,6472.0,4674.0,837.0,11172.0
2020-08-15,2221.0,17533.0,794.0,6679.0,6472.0,4730.0,843.0,11226.0
2020-08-16,2221.0,17662.0,807.0,6735.0,6472.0,4798.0,853.0,11252.0
2020-08-17,2301.0,17843.0,813.0,6776.0,6561.0,4813.0,862.0,11279.0
2020-08-18,2327.0,18008.0,827.0,6831.0,6599.0,4843.0,869.0,11303.0
