date,AUS,JPN,KOR,NZL,TWN
9/14/20,810,1442,363,24,7
9/15/20,816,1451,367,24,7
9/16/20,816,1461,367,25,7
9/17/20,824,1473,372,25,7
9/18/20,832,1482,377,25,7
9/19/20,837,1495,378,25,7
9/20/20,844,1500,383,25,7
9/21/20,849,1500,385,25,7
9/22/20,851,1508,388,25,7
9/23/20,854,1512,388,25,7
9/24/20,859,1520,393,25,7
9/25/20,861,1532,395,25,7
9/26/20,869,1540,399,25,7
9/27/20,870,1545,401,25,7
9/28/20,872,1548,406,25,7
9/29/20,875,1557,407,25,7
9/30/20,882,1564,413,25,7
